Name,Type1,Type2,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,FireRed,LeafGreen,Emerald,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus,Scarlet,Violet
Bulbasaur,Grass,Poison,Pallet Town,Pallet Town,Cerulean City,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Pallet Town,Pallet Town,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Pallet Town,Pallet Town,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Lumiose City,Lumiose City,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 2,Route 2,"Cerulean City, Viridian Forest","Cerulean City, Viridian Forest",Trade/migrate from another game,Trade/migrate from another game,"Grassland Cave, Swampy Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern","Grassland Cave, Swampy Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern",Not available in this game,Not available in this game,Not available in this game
Ivysaur,Grass,Poison,Evolve Bulbasaur,Evolve Bulbasaur,Evolve Bulbasaur,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur,Evolve Bulbasaur,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur,Evolve Bulbasaur,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur,Evolve Bulbasaur,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur,Evolve Bulbasaur,Evolve Bulbasaur,Evolve Bulbasaur,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur,Evolve Bulbasaur,Not available in this game,Not available in this game,Not available in this game
Venusaur,Grass,Poison,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Trade/migrate from another game,Trade/migrate from another game,Evolve Bulbasaur/Ivysaur,Evolve Bulbasaur/Ivysaur,Not available in this game,Not available in this game,Not available in this game
Charmander,Fire,None,Pallet Town,Pallet Town,Route 24,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Pallet Town,Pallet Town,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Pallet Town,Pallet Town,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Lumiose City,Lumiose City,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 3,Route 3,"Route 3, 4, 24, Rock Tunnel","Route 3, 4, 24, Rock Tunnel",Trade/migrate from another game,Trade/migrate from another game,"Volcanic Cave, Sandsear Cave, Typhlo Cavern","Volcanic Cave, Sandsear Cave, Typhlo Cavern",Not available in this game,Trade/migrate from another game,Trade/migrate from another game
Charmeleon,Fire,None,Evolve Charmander,Evolve Charmander,Evolve Charmander,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander,Evolve Charmander,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander,Evolve Charmander,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander,Evolve Charmander,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander,Evolve Charmander,Evolve Charmander,Evolve Charmander,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander,Evolve Charmander,Not available in this game,Trade/migrate from another game,Trade/migrate from another game
Charizard,Fire,Flying,Evolve Charmander/Charmeleon,Evolve Charmander/Charmeleon,Evolve Charmander/Charmeleon,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander/Charmeleon,Evolve Charmander/Charmeleon,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander/Charmeleon,Evolve Charmander/Charmeleon,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander/Charmeleon,Evolve Charmander/Charmeleon,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander/Charmeleon,Evolve Charmander/Charmeleon,"Route 2, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25","Route 2, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25",Trade/migrate from another game,Trade/migrate from another game,Evolve Charmander/Charmeleon,Evolve Charmander/Charmeleon,Not available in this game,Trade/migrate from another game,Trade/migrate from another game
Squirtle,Water,None,Pallet Town,Pallet Town,Vermilion City,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Pallet Town,Pallet Town,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Pallet Town,Pallet Town,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Lumiose City,Lumiose City,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Seaward Cave,Seaward Cave,"Route 24, 25, Seafoam Islands, Vermilion City","Route 24, 25, Seafoam Islands, Vermilion City",Trade/migrate from another game,Trade/migrate from another game,"Fountainspring Cave, Riverbank Cave, Still-Water Cavern","Fountainspring Cave, Riverbank Cave, Still-Water Cavern",Not available in this game,Not available in this game,Not available in this game
Wartortle,Water,None,Evolve Squirtle,Evolve Squirtle,Evolve Squirtle,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle,Evolve Squirtle,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle,Evolve Squirtle,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle,Evolve Squirtle,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle,Evolve Squirtle,Evolve Squirtle,Evolve Squirtle,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle,Evolve Squirtle,Not available in this game,Not available in this game,Not available in this game
Blastoise,Water,None,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Trade/migrate from another game,Trade/migrate from another game,Evolve Squirtle/Wartortle,Evolve Squirtle/Wartortle,Not available in this game,Not available in this game,Not available in this game
Caterpie,Bug,None,"Route 25, Viridian Forest","Route 2, 24, 25, Viridian Forest",Viridian Forest,"Route 2, 26, 27, 30, 31, 34, 35, 36, 37, 38, 39, Azalea Town, Ilex Forest, Lake of Rage, National Park",National Park,"Route 2, 24, 25, 30, 31, Ilex Forest, National Park",Trade/migrate from another game,Trade/migrate from another game,"Route 2, 24, 25, Pattern Bush, Viridian Forest","Route 2, 24, 25, Pattern Bush, Viridian Forest",Trade/migrate from another game,Route 204,Route 204,"Route 204, Eterna Forest","Route 2, 30, 31, Ilex Forest, National Park, Viridian Forest",National Park,Trade/migrate from another game,Breed Metapod/Butterfree,Trade/migrate from another game,Trade/migrate from another game,Santalune Forest,"Route 2, Santalune Forest",Trade/migrate from another game,Trade/migrate from another game,"Route 1, 5, Melemele Meadow, Lush Jungle","Route 1, 5, Melemele Meadow, Lush Jungle","Route 1, 5, Melemele Meadow, Lush Jungle","Route 1, 5, Melemele Meadow, Lush Jungle","Route 2, Viridian Forest","Route 2, Viridian Forest",Route 1,Route 1,"Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern",Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game
