Type,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,FireRed,LeafGreen,Emerald,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus,Scarlet,Violet,Total
Normal,0.14388489208633093,0.15827338129496402,0.14492753623188406,0.15765765765765766,0.15765765765765766,0.16143497757847533,0.12435233160621761,0.11917098445595854,0.14795918367346939,0.14948453608247422,0.14285714285714285,0.16350710900473933,0.16824644549763032,0.16091954022988506,0.1581769436997319,0.16981132075471697,0.12285714285714286,0.14222222222222222,0.11494252873563218,0.1206896551724138,0.1299559471365639,0.1299559471365639,0.13839285714285715,0.13616071428571427,0.128686327077748,0.128686327077748,0.12195121951219512,0.12382739212007504,0.1510791366906475,0.15827338129496402,0.11088709677419355,0.10887096774193548,0.14516129032258066,0.15240641711229946,0.13333333333333333,0.1424802110817942,0.13984168865435356,0.1386575208231259
Fire,0.06474820143884892,0.07194244604316546,0.07971014492753623,0.07207207207207207,0.07207207207207207,0.07174887892376682,0.05181347150259067,0.05181347150259067,0.0663265306122449,0.07731958762886598,0.06722689075630252,0.045023696682464455,0.04976303317535545,0.05057471264367816,0.06970509383378017,0.07008086253369272,0.06,0.04666666666666667,0.06321839080459771,0.06321839080459771,0.05066079295154185,0.046255506607929514,0.07366071428571429,0.07142857142857142,0.07238605898123325,0.064343163538874,0.08630393996247655,0.07129455909943715,0.07194244604316546,0.07913669064748201,0.04838709677419355,0.046370967741935484,0.06182795698924731,0.06951871657754011,0.07083333333333333,0.0712401055408971,0.07387862796833773,0.06328597092928304
Water,0.2302158273381295,0.2302158273381295,0.2318840579710145,0.19369369369369369,0.1891891891891892,0.18385650224215247,0.21761658031088082,0.23834196891191708,0.1836734693877551,0.19072164948453607,0.2184873949579832,0.17061611374407584,0.18246445497630331,0.17471264367816092,0.17962466487935658,0.1725067385444744,0.21714285714285714,0.19111111111111112,0.22126436781609196,0.22126436781609196,0.17180616740088106,0.1696035242290749,0.18303571428571427,0.19419642857142858,0.1903485254691689,0.1903485254691689,0.20075046904315197,0.2026266416510319,0.2302158273381295,0.2302158273381295,0.16532258064516128,0.17137096774193547,0.1989247311827957,0.20855614973262032,0.14583333333333334,0.1266490765171504,0.13192612137203166,0.18814306712395884
Electric,0.06474820143884892,0.05755395683453238,0.057971014492753624,0.07207207207207207,0.07207207207207207,0.05829596412556054,0.06735751295336788,0.06735751295336788,0.061224489795918366,0.05154639175257732,0.06722689075630252,0.061611374407582936,0.061611374407582936,0.06206896551724138,0.064343163538874,0.0646900269541779,0.037142857142857144,0.06,0.05747126436781609,0.06321839080459771,0.05286343612334802,0.05726872246696035,0.0625,0.0625,0.064343163538874,0.064343163538874,0.06191369606003752,0.0675422138836773,0.06474820143884892,0.06474820143884892,0.06854838709677419,0.06854838709677419,0.05913978494623656,0.05080213903743316,0.075,0.08443271767810026,0.08970976253298153,0.06344928956393925
Grass,0.07913669064748201,0.07913669064748201,0.10144927536231885,0.09009009009009009,0.09009009009009009,0.09417040358744394,0.09326424870466321,0.09326424870466321,0.07653061224489796,0.07216494845360824,0.10504201680672269,0.0995260663507109,0.0995260663507109,0.10344827586206896,0.1126005361930295,0.11320754716981132,0.09428571428571429,0.11555555555555555,0.10057471264367816,0.10057471264367816,0.0947136563876652,0.0947136563876652,0.11383928571428571,0.11383928571428571,0.09919571045576407,0.09651474530831099,0.09193245778611632,0.0900562851782364,0.07913669064748201,0.07913669064748201,0.09475806451612903,0.09475806451612903,0.11021505376344086,0.10962566844919786,0.09583333333333334,0.10817941952506596,0.10554089709762533,0.09921607055365017
Ice,0.03597122302158273,0.03597122302158273,0.028985507246376812,0.036036036036036036,0.04054054054054054,0.04035874439461883,0.031088082901554404,0.031088082901554404,0.04591836734693878,0.041237113402061855,0.025210084033613446,0.04028436018957346,0.045023696682464455,0.05057471264367816,0.032171581769437,0.03504043126684636,0.06,0.04666666666666667,0.0603448275862069,0.0603448275862069,0.05066079295154185,0.05286343612334802,0.03125,0.03125,0.05093833780160858,0.05093833780160858,0.054409005628517824,0.054409005628517824,0.03597122302158273,0.03597122302158273,0.06451612903225806,0.06653225806451613,0.051075268817204304,0.0481283422459893,0.06666666666666667,0.047493403693931395,0.052770448548812667,0.047280744732974035
Fighting,0.05755395683453238,0.04316546762589928,0.057971014492753624,0.04954954954954955,0.04054054054054054,0.04035874439461883,0.05699481865284974,0.05699481865284974,0.05612244897959184,0.05670103092783505,0.037815126050420166,0.054502369668246446,0.054502369668246446,0.052873563218390804,0.05093833780160858,0.04582210242587601,0.07714285714285714,0.06666666666666667,0.05747126436781609,0.05459770114942529,0.05506607929515418,0.05726872246696035,0.06919642857142858,0.06919642857142858,0.06702412868632708,0.064343163538874,0.06941838649155722,0.0675422138836773,0.05755395683453238,0.04316546762589928,0.0625,0.056451612903225805,0.056451612903225805,0.05614973262032086,0.05,0.06860158311345646,0.06860158311345646,0.05871304915890903
Poison,0.2158273381294964,0.2014388489208633,0.18840579710144928,0.15315315315315314,0.14414414414414414,0.15246636771300448,0.08290155440414508,0.08808290155440414,0.17346938775510204,0.15979381443298968,0.07563025210084033,0.11137440758293839,0.1066350710900474,0.10344827586206896,0.10991957104557641,0.1105121293800539,0.06,0.08222222222222222,0.06609195402298851,0.06609195402298851,0.11013215859030837,0.1145374449339207,0.06919642857142858,0.06696428571428571,0.07506702412868632,0.07506702412868632,0.058161350844277676,0.06191369606003752,0.18705035971223022,0.2014388489208633,0.08064516129032258,0.08870967741935484,0.11827956989247312,0.11764705882352941,0.0875,0.08443271767810026,0.08179419525065963,0.09929772987097828
Ground,0.08633093525179857,0.10071942446043165,0.10144927536231885,0.0990990990990991,0.1036036036036036,0.10762331838565023,0.11398963730569948,0.10880829015544041,0.10714285714285714,0.10824742268041238,0.10504201680672269,0.10426540284360189,0.0995260663507109,0.09425287356321839,0.09651474530831099,0.08355795148247978,0.09428571428571429,0.09555555555555556,0.08045977011494253,0.08620689655172414,0.09251101321585903,0.09691629955947137,0.08705357142857142,0.08482142857142858,0.08042895442359249,0.08579088471849866,0.08630393996247655,0.08818011257035648,0.10071942446043165,0.08633093525179857,0.09475806451612903,0.10483870967741936,0.11827956989247312,0.11229946524064172,0.1,0.08970976253298153,0.08179419525065963,0.09513310468724481
Flying,0.1366906474820144,0.12949640287769784,0.13768115942028986,0.13513513513513514,0.14414414414414414,0.15246636771300448,0.10880829015544041,0.10880829015544041,0.17346938775510204,0.15979381443298968,0.1134453781512605,0.13033175355450238,0.12559241706161137,0.13333333333333333,0.14209115281501342,0.14285714285714285,0.14285714285714285,0.14,0.10919540229885058,0.10919540229885058,0.15418502202643172,0.15638766519823788,0.08705357142857142,0.08705357142857142,0.1126005361930295,0.11528150134048257,0.1275797373358349,0.13133208255159476,0.1366906474820144,0.12949640287769784,0.09879032258064516,0.09475806451612903,0.13709677419354838,0.12299465240641712,0.1375,0.10554089709762533,0.10554089709762533,0.12510207414666014
