Type,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,FireRed,LeafGreen,Emerald,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus,Scarlet,Violet,Total
Normal,20,22,20,35,35,36,24,23,29,29,34,69,71,70,59,63,43,64,40,42,59,59,62,61,48,48,65,66,21,22,55,54,54,57,32,54,53,1698
Fire,9,10,11,16,16,16,10,10,13,15,16,19,21,22,26,26,21,21,22,22,23,21,33,32,27,24,46,38,10,11,24,23,23,26,17,27,28,775
Water,32,32,32,43,42,41,42,46,36,37,52,72,77,76,67,64,76,86,77,77,78,77,82,87,71,71,107,108,32,32,82,85,74,78,35,48,50,2304
Electric,9,8,8,16,16,13,13,13,12,10,16,26,26,27,24,24,13,27,20,22,24,26,28,28,24,24,33,36,9,9,34,34,22,19,18,32,34,777
Grass,11,11,14,20,20,21,18,18,15,14,25,42,42,45,42,42,33,52,35,35,43,43,51,51,37,36,49,48,11,11,47,47,41,41,23,41,40,1215
Ice,5,5,4,8,9,9,6,6,9,8,6,17,19,22,12,13,21,21,21,21,23,24,14,14,19,19,29,29,5,5,32,33,19,18,16,18,20,579
Fighting,8,6,8,11,9,9,11,11,11,11,9,23,23,23,19,17,27,30,20,19,25,26,31,31,25,24,37,36,8,6,31,28,21,21,12,26,26,719
Poison,30,28,26,34,32,34,16,17,34,31,18,47,45,45,41,41,21,37,23,23,50,52,31,30,28,28,31,33,26,28,40,44,44,44,21,32,31,1216
Ground,12,14,14,22,23,24,22,21,21,21,25,44,42,41,36,31,33,43,28,30,42,44,39,38,30,32,46,47,14,12,47,52,44,42,24,34,31,1165
Flying,19,18,19,30,32,34,21,21,34,31,27,55,53,58,53,53,50,63,38,38,70,71,39,39,42,43,68,70,19,18,49,47,51,46,33,40,40,1532
Psychic,13,13,12,21,21,21,25,25,18,22,26,42,45,45,43,41,32,39,32,30,43,42,45,46,27,28,47,51,13,13,51,52,34,37,19,34,32,1180
Bug,11,11,9,20,20,22,16,16,18,17,21,44,43,45,40,40,40,49,26,26,44,44,39,39,30,30,45,45,11,11,43,43,33,32,21,28,27,1099
Rock,11,11,11,14,14,14,18,18,15,15,19,36,30,37,28,28,35,41,38,38,49,49,46,46,29,29,55,56,11,11,41,44,20,19,16,19,16,1027
Ghost,3,3,3,4,4,4,5,6,3,4,6,16,18,16,8,7,15,20,14,14,22,22,16,17,22,23,31,29,3,3,37,39,10,13,15,26,28,529
Dragon,3,3,3,4,4,4,10,10,4,4,10,12,15,14,11,11,14,19,17,17,28,29,23,22,27,27,37,38,3,3,32,30,10,13,9,26,27,573
Dark,0,0,0,6,6,6,9,8,3,3,12,21,16,19,14,13,27,26,25,23,33,33,24,23,18,20,31,32,0,0,36,33,19,13,12,38,31,633
Steel,2,2,2,5,6,6,11,10,5,3,12,23,18,24,14,16,22,28,30,30,24,21,27,26,22,21,32,30,2,2,36,35,18,16,14,23,24,642
Fairy,5,5,5,13,13,13,10,9,12,12,12,20,20,20,16,17,9,18,11,11,24,23,17,16,30,28,35,32,5,5,37,36,17,16,13,27,26,638
None,75,76,75,122,122,119,99,98,100,101,130,216,220,221,193,195,168,216,179,178,204,202,249,250,190,191,242,242,75,76,238,233,190,197,130,185,194,6191
Total,139,139,138,222,222,223,193,193,196,194,238,422,422,435,373,371,350,450,348,348,454,454,448,448,373,373,533,533,139,139,496,496,372,374,240,379,379,12246
